"Time","fastapi_nosql"
2024-03-03 17:15:00,0.00125
2024-03-03 17:15:15,0.00128
2024-03-03 17:15:30,0.00125
2024-03-03 17:15:45,0.00120
2024-03-03 17:16:00,0.00119
2024-03-03 17:16:15,0.00117
2024-03-03 17:16:30,0.00118
2024-03-03 17:16:45,0.00124
2024-03-03 17:17:00,0.00127
2024-03-03 17:17:15,0.00128
2024-03-03 17:17:30,0.00122
2024-03-03 17:17:45,0.00109
2024-03-03 17:18:00,0.000773
2024-03-03 17:18:15,0.000454
2024-03-03 17:18:30,0.000120
2024-03-03 17:20:00,0.000451
2024-03-03 17:20:15,0.000717
2024-03-03 17:20:30,0.00100
2024-03-03 17:20:45,0.00115
2024-03-03 17:21:00,0.113
2024-03-03 17:21:15,0.375
2024-03-03 17:21:30,0.486
2024-03-03 17:21:45,0.476
2024-03-03 17:22:00,0.292
2024-03-03 17:22:15,0.0280
2024-03-03 17:22:30,0.00116
2024-03-03 17:22:45,0.00115
2024-03-03 17:23:00,0.00230
2024-03-03 17:23:15,0.00233
2024-03-03 17:23:30,0.00236
2024-03-03 17:23:45,0.00236
2024-03-03 17:24:00,0.00126
2024-03-03 17:24:15,0.00123
2024-03-03 17:24:30,0.00124
2024-03-03 17:24:45,0.00123
2024-03-03 17:25:00,0.00123
2024-03-03 17:25:15,0.00122
2024-03-03 17:25:30,0.0110
2024-03-03 17:25:45,0.0109
2024-03-03 17:26:00,0.0111
2024-03-03 17:26:15,0.00425
2024-03-03 17:26:30,0.00126
2024-03-03 17:26:45,0.00124
2024-03-03 17:27:00,0.00126
2024-03-03 17:27:15,0.00126
2024-03-03 17:27:30,0.00127
2024-03-03 17:27:45,0.101
2024-03-03 17:28:00,0.102
2024-03-03 17:28:15,0.104
2024-03-03 17:28:30,0.0529
2024-03-03 17:28:45,0.00124
2024-03-03 17:29:00,0.00126
2024-03-03 17:29:15,0.00126
2024-03-03 17:29:30,0.00128
2024-03-03 17:29:45,0.00126
2024-03-03 17:30:00,0.00127
2024-03-03 17:30:15,0.155
2024-03-03 17:30:30,0.349
2024-03-03 17:30:45,0.498
2024-03-03 17:31:00,0.509
2024-03-03 17:31:15,0.280
2024-03-03 17:31:30,0.0804
2024-03-03 17:31:45,0.00117
2024-03-03 17:32:00,0.00119
2024-03-03 17:32:15,0.00116
2024-03-03 17:32:30,0.00114
2024-03-03 17:32:45,0.00113
2024-03-03 17:33:00,0.00116
2024-03-03 17:33:15,0.00119
2024-03-03 17:33:30,0.00122
2024-03-03 17:33:45,0.00120
2024-03-03 17:34:00,0.00122
2024-03-03 17:34:15,0.00121
2024-03-03 17:34:30,0.00121
2024-03-03 17:34:45,0.00120
2024-03-03 17:35:00,0.00120
2024-03-03 17:35:15,0.00117
2024-03-03 17:35:30,0.00118
2024-03-03 17:35:45,0.256
2024-03-03 17:36:00,0.487
2024-03-03 17:36:15,0.488
2024-03-03 17:36:30,0.413
2024-03-03 17:36:45,0.139
2024-03-03 17:37:00,0.00114
2024-03-03 17:37:15,0.00112
2024-03-03 17:37:30,0.00113
2024-03-03 17:37:45,0.00113
2024-03-03 17:38:00,0.00114
2024-03-03 17:38:15,0.00113
2024-03-03 17:38:30,0.00112
2024-03-03 17:38:45,0.00112
2024-03-03 17:39:00,0.00115
2024-03-03 17:39:15,0.00117
2024-03-03 17:39:30,0.00120
2024-03-03 17:39:45,0.00120
2024-03-03 17:40:00,0.0110
2024-03-03 17:40:15,0.0109
2024-03-03 17:40:30,0.0111
2024-03-03 17:40:45,0.00586
2024-03-03 17:41:00,0.00123
2024-03-03 17:41:15,0.00122
2024-03-03 17:41:30,0.00120
2024-03-03 17:41:45,0.00120
2024-03-03 17:42:00,0.00120
2024-03-03 17:42:15,0.100
2024-03-03 17:42:30,0.100
2024-03-03 17:42:45,0.0992
2024-03-03 17:43:00,0.0746
2024-03-03 17:43:15,0.00118
2024-03-03 17:43:30,0.00115
2024-03-03 17:43:45,0.00113
2024-03-03 17:44:00,0.00114
2024-03-03 17:44:15,0.00111
2024-03-03 17:44:30,0.00114
2024-03-03 17:44:45,0.133
2024-03-03 17:45:00,0.337
2024-03-03 17:45:15,0.490
2024-03-03 17:45:30,0.502
2024-03-03 17:45:45,0.298
2024-03-03 17:46:00,0.101
2024-03-03 17:46:15,0.00122
2024-03-03 17:46:30,0.00125
2024-03-03 17:46:45,0.00121
2024-03-03 17:47:00,0.00118
2024-03-03 17:47:15,0.00116
2024-03-03 17:47:30,0.00115
2024-03-03 17:47:45,0.00114
2024-03-03 17:48:00,0.00114
2024-03-03 17:48:15,0.00113
2024-03-03 17:48:30,0.00113
2024-03-03 17:48:45,0.00112
2024-03-03 17:49:00,0.00110
2024-03-03 17:49:15,0.00112
2024-03-03 17:49:30,0.00114
2024-03-03 17:49:45,0.00115
2024-03-03 17:50:00,0.00117
2024-03-03 17:50:15,0.245
2024-03-03 17:50:30,0.522
2024-03-03 17:50:45,0.504
2024-03-03 17:51:00,0.460
2024-03-03 17:51:15,0.190
2024-03-03 17:51:30,0.00111
2024-03-03 17:51:45,0.00110
2024-03-03 17:52:00,0.00110
2024-03-03 17:52:15,0.00110
2024-03-03 17:52:30,0.00113
2024-03-03 17:52:45,0.00116
2024-03-03 17:53:00,0.00117
2024-03-03 17:53:15,0.00118
2024-03-03 17:53:30,0.00117
2024-03-03 17:53:45,0.00117
2024-03-03 17:54:00,0.00117
2024-03-03 17:54:15,0.00117
2024-03-03 17:54:30,0.0105
2024-03-03 17:54:45,0.0107
2024-03-03 17:55:00,0.0107
2024-03-03 17:55:15,0.0106
2024-03-03 17:55:30,0.00119
2024-03-03 17:55:45,0.00119
2024-03-03 17:56:00,0.00119
2024-03-03 17:56:15,0.00117
2024-03-03 17:56:30,0.00114
2024-03-03 17:56:45,0.101
2024-03-03 17:57:00,0.100
2024-03-03 17:57:15,0.101
2024-03-03 17:57:30,0.102
2024-03-03 17:57:45,0.00118
2024-03-03 17:58:00,0.00120
2024-03-03 17:58:15,0.00120
2024-03-03 17:58:30,0.00115
2024-03-03 17:58:45,0.00115
2024-03-03 17:59:00,0.00113
2024-03-03 17:59:15,0.114
2024-03-03 17:59:30,0.317
2024-03-03 17:59:45,0.492
2024-03-03 18:00:00,0.502
2024-03-03 18:00:15,0.318
2024-03-03 18:00:30,0.128
2024-03-03 18:00:45,0.00113
2024-03-03 18:01:00,0.00113
2024-03-03 18:01:15,0.00109
2024-03-03 18:01:30,0.00105
2024-03-03 18:01:45,0.00106
2024-03-03 18:02:00,0.00107
2024-03-03 18:02:15,0.00111
2024-03-03 18:02:30,0.00114
2024-03-03 18:02:45,0.00114
2024-03-03 18:03:00,0.00113
2024-03-03 18:03:15,0.00112
2024-03-03 18:03:30,0.00113
2024-03-03 18:03:45,0.00113
2024-03-03 18:04:00,0.00113
2024-03-03 18:04:15,0.00113
2024-03-03 18:04:30,0.00112
2024-03-03 18:04:45,0.216
2024-03-03 18:05:00,0.501
2024-03-03 18:05:15,0.496
2024-03-03 18:05:30,0.445
2024-03-03 18:05:45,0.189
2024-03-03 18:06:00,0.00107
2024-03-03 18:06:15,0.00106
2024-03-03 18:06:30,0.00105
2024-03-03 18:06:45,0.00106
2024-03-03 18:07:00,0.00108
2024-03-03 18:07:15,0.00110
2024-03-03 18:07:30,0.00112
2024-03-03 18:07:45,0.00111
2024-03-03 18:08:00,0.00110
2024-03-03 18:08:15,0.00110
2024-03-03 18:08:30,0.00109
2024-03-03 18:08:45,0.00113
2024-03-03 18:09:00,0.0109
2024-03-03 18:09:15,0.0112
2024-03-03 18:09:30,0.0114
2024-03-03 18:09:45,0.00638
2024-03-03 18:10:00,0.00143
2024-03-03 18:10:15,0.00143
2024-03-03 18:10:30,0.00143
2024-03-03 18:10:45,0.00143
2024-03-03 18:11:00,0.00141
2024-03-03 18:11:15,0.105
2024-03-03 18:11:30,0.106
2024-03-03 18:11:45,0.106
2024-03-03 18:12:00,0.103
2024-03-03 18:12:15,0.00132
2024-03-03 18:12:30,0.00133
2024-03-03 18:12:45,0.00136
2024-03-03 18:13:00,0.00137
2024-03-03 18:13:15,0.00139
2024-03-03 18:13:30,0.00139
2024-03-03 18:13:45,0.103
2024-03-03 18:14:00,0.310
2024-03-03 18:14:15,0.501
2024-03-03 18:14:30,0.520
2024-03-03 18:14:45,0.350
2024-03-03 18:15:00,0.149
2024-03-03 18:15:15,0.00127
2024-03-03 18:15:30,0.00129
2024-03-03 18:15:45,0.00133
2024-03-03 18:16:00,0.00135
2024-03-03 18:16:15,0.00138
2024-03-03 18:16:30,0.00138
2024-03-03 18:16:45,0.00138
2024-03-03 18:17:00,0.00137
2024-03-03 18:17:15,0.00140
2024-03-03 18:17:30,0.00139
2024-03-03 18:17:45,0.00139
2024-03-03 18:18:00,0.00136
2024-03-03 18:18:15,0.00135
2024-03-03 18:18:30,0.00130
2024-03-03 18:18:45,0.00126
2024-03-03 18:19:00,0.00122
2024-03-03 18:19:15,0.121
2024-03-03 18:19:30,0.407
2024-03-03 18:19:45,0.534
2024-03-03 18:20:00,0.541
2024-03-03 18:20:15,0.321
2024-03-03 18:20:30,0.0244
2024-03-03 18:20:45,0.00113
2024-03-03 18:21:00,0.00111
2024-03-03 18:21:15,0.00112
2024-03-03 18:21:30,0.00114
2024-03-03 18:21:45,0.00122
2024-03-03 18:22:00,0.00129
2024-03-03 18:22:15,0.00131
2024-03-03 18:22:30,0.00133
2024-03-03 18:22:45,0.00133
2024-03-03 18:23:00,0.00131
2024-03-03 18:23:15,0.00134
2024-03-03 18:23:30,0.00132
2024-03-03 18:23:45,0.0113
2024-03-03 18:24:00,0.0114
2024-03-03 18:24:15,0.0113
2024-03-03 18:24:30,0.00449
2024-03-03 18:24:45,0.00132
2024-03-03 18:25:00,0.00131
2024-03-03 18:25:15,0.00132
2024-03-03 18:25:30,0.00133
2024-03-03 18:25:45,0.00132
2024-03-03 18:26:00,0.104
2024-03-03 18:26:15,0.101
2024-03-03 18:26:30,0.105
2024-03-03 18:26:45,0.0658
2024-03-03 18:27:00,0.00132
2024-03-03 18:27:15,0.00131
2024-03-03 18:27:30,0.00127
2024-03-03 18:27:45,0.00127
2024-03-03 18:28:00,0.00127
2024-03-03 18:28:15,0.00126
2024-03-03 18:28:30,0.147
