"Time","neo4j"
2024-03-03 17:15:00,0.00276
2024-03-03 17:15:15,0.00280
2024-03-03 17:15:30,0.00259
2024-03-03 17:15:45,0.00253
2024-03-03 17:16:00,0.00251
2024-03-03 17:16:15,0.00255
2024-03-03 17:16:30,0.00259
2024-03-03 17:16:45,0.00265
2024-03-03 17:17:00,0.00287
2024-03-03 17:17:15,0.00291
2024-03-03 17:17:30,0.00308
2024-03-03 17:17:45,0.00274
2024-03-03 17:18:00,0.00170
2024-03-03 17:18:15,0.00102
2024-03-03 17:20:00,0.00215
2024-03-03 17:20:15,0.00366
2024-03-03 17:20:30,0.00486
2024-03-03 17:20:45,0.00564
2024-03-03 17:21:00,0.00702
2024-03-03 17:21:15,0.00640
2024-03-03 17:21:30,0.00607
2024-03-03 17:21:45,0.246
2024-03-03 17:22:00,0.267
2024-03-03 17:22:15,0.285
2024-03-03 17:22:30,0.0959
2024-03-03 17:22:45,0.0841
2024-03-03 17:23:00,0.0889
2024-03-03 17:23:15,0.124
2024-03-03 17:23:30,0.0933
2024-03-03 17:23:45,0.0764
2024-03-03 17:24:00,0.0520
2024-03-03 17:24:15,0.00314
2024-03-03 17:24:30,0.00310
2024-03-03 17:24:45,0.00338
2024-03-03 17:25:00,0.00330
2024-03-03 17:25:15,0.0617
2024-03-03 17:25:30,0.144
2024-03-03 17:25:45,0.144
2024-03-03 17:26:00,0.142
2024-03-03 17:26:15,0.0470
2024-03-03 17:26:30,0.00333
2024-03-03 17:26:45,0.00331
2024-03-03 17:27:00,0.00310
2024-03-03 17:27:15,0.00304
2024-03-03 17:27:30,0.0102
2024-03-03 17:27:45,0.0105
2024-03-03 17:28:00,0.0674
2024-03-03 17:28:15,0.0700
2024-03-03 17:28:30,0.0629
2024-03-03 17:28:45,0.0359
2024-03-03 17:29:00,0.00409
2024-03-03 17:29:15,0.00365
2024-03-03 17:29:30,0.00313
2024-03-03 17:29:45,0.00321
2024-03-03 17:30:00,0.0394
2024-03-03 17:30:15,0.0418
2024-03-03 17:30:30,0.0413
2024-03-03 17:30:45,0.0412
2024-03-03 17:31:00,0.00503
2024-03-03 17:31:15,0.00281
2024-03-03 17:31:30,0.0103
2024-03-03 17:31:45,0.0418
2024-03-03 17:32:00,0.0427
2024-03-03 17:32:15,0.0420
2024-03-03 17:32:30,0.00249
2024-03-03 17:32:45,0.00253
2024-03-03 17:33:00,0.00266
2024-03-03 17:33:15,0.00266
2024-03-03 17:33:30,0.00266
2024-03-03 17:33:45,0.00268
2024-03-03 17:34:00,0.00255
2024-03-03 17:34:15,0.00254
2024-03-03 17:34:30,0.00254
2024-03-03 17:34:45,0.00293
2024-03-03 17:35:00,0.00374
2024-03-03 17:35:15,0.00375
2024-03-03 17:35:30,0.00384
2024-03-03 17:35:45,0.00346
2024-03-03 17:36:00,0.00272
2024-03-03 17:36:15,0.0228
2024-03-03 17:36:30,0.0438
2024-03-03 17:36:45,0.0582
2024-03-03 17:37:00,0.0708
2024-03-03 17:37:15,0.0598
2024-03-03 17:37:30,0.0433
2024-03-03 17:37:45,0.0429
2024-03-03 17:38:00,0.0561
2024-03-03 17:38:15,0.0487
2024-03-03 17:38:30,0.0377
2024-03-03 17:38:45,0.00244
2024-03-03 17:39:00,0.00253
2024-03-03 17:39:15,0.00248
2024-03-03 17:39:30,0.00256
2024-03-03 17:39:45,0.00257
2024-03-03 17:40:00,0.0353
2024-03-03 17:40:15,0.0364
2024-03-03 17:40:30,0.0358
2024-03-03 17:40:45,0.0190
2024-03-03 17:41:00,0.00299
2024-03-03 17:41:15,0.00291
2024-03-03 17:41:30,0.00287
2024-03-03 17:41:45,0.00285
2024-03-03 17:42:00,0.00517
2024-03-03 17:42:15,0.00521
2024-03-03 17:42:30,0.0187
2024-03-03 17:42:45,0.0182
2024-03-03 17:43:00,0.0154
2024-03-03 17:43:15,0.0155
2024-03-03 17:43:30,0.00233
2024-03-03 17:43:45,0.00234
2024-03-03 17:44:00,0.00237
2024-03-03 17:44:15,0.00238
2024-03-03 17:44:30,0.0171
2024-03-03 17:44:45,0.0175
2024-03-03 17:45:00,0.0176
2024-03-03 17:45:15,0.0171
2024-03-03 17:45:30,0.00254
2024-03-03 17:45:45,0.00250
2024-03-03 17:46:00,0.00272
2024-03-03 17:46:15,0.0250
2024-03-03 17:46:30,0.0251
2024-03-03 17:46:45,0.0255
2024-03-03 17:47:00,0.00971
2024-03-03 17:47:15,0.00236
2024-03-03 17:47:30,0.00234
2024-03-03 17:47:45,0.00232
2024-03-03 17:48:00,0.00231
2024-03-03 17:48:15,0.00230
2024-03-03 17:48:30,0.00231
2024-03-03 17:48:45,0.00231
2024-03-03 17:49:00,0.00231
2024-03-03 17:49:15,0.00235
2024-03-03 17:49:30,0.00246
2024-03-03 17:49:45,0.00251
2024-03-03 17:50:00,0.00278
2024-03-03 17:50:15,0.00284
2024-03-03 17:50:30,0.00290
2024-03-03 17:50:45,0.0114
2024-03-03 17:51:00,0.0194
2024-03-03 17:51:15,0.0271
2024-03-03 17:51:30,0.0361
2024-03-03 17:51:45,0.0331
2024-03-03 17:52:00,0.0341
2024-03-03 17:52:15,0.0340
2024-03-03 17:52:30,0.0537
2024-03-03 17:52:45,0.0444
2024-03-03 17:53:00,0.0366
2024-03-03 17:53:15,0.00239
2024-03-03 17:53:30,0.00239
2024-03-03 17:53:45,0.00234
2024-03-03 17:54:00,0.00235
2024-03-03 17:54:15,0.00234
2024-03-03 17:54:30,0.0220
2024-03-03 17:54:45,0.0256
2024-03-03 17:55:00,0.0257
2024-03-03 17:55:15,0.0254
2024-03-03 17:55:30,0.00238
2024-03-03 17:55:45,0.00238
2024-03-03 17:56:00,0.00237
2024-03-03 17:56:15,0.00232
2024-03-03 17:56:30,0.00229
2024-03-03 17:56:45,0.00549
2024-03-03 17:57:00,0.0188
2024-03-03 17:57:15,0.0190
2024-03-03 17:57:30,0.0159
2024-03-03 17:57:45,0.0160
2024-03-03 17:58:00,0.00240
2024-03-03 17:58:15,0.00238
2024-03-03 17:58:30,0.00236
2024-03-03 17:58:45,0.00236
2024-03-03 17:59:00,0.0149
2024-03-03 17:59:15,0.0150
2024-03-03 17:59:30,0.0151
2024-03-03 17:59:45,0.0155
2024-03-03 18:00:00,0.00248
2024-03-03 18:00:15,0.00244
2024-03-03 18:00:30,0.00248
2024-03-03 18:00:45,0.0258
2024-03-03 18:01:00,0.0258
2024-03-03 18:01:15,0.0261
2024-03-03 18:01:30,0.0113
2024-03-03 18:01:45,0.00232
2024-03-03 18:02:00,0.00231
2024-03-03 18:02:15,0.00229
2024-03-03 18:02:30,0.00226
2024-03-03 18:02:45,0.00226
2024-03-03 18:03:00,0.00225
2024-03-03 18:03:15,0.00224
2024-03-03 18:03:30,0.00227
2024-03-03 18:03:45,0.00233
2024-03-03 18:04:00,0.00240
2024-03-03 18:04:15,0.00244
2024-03-03 18:04:30,0.00777
2024-03-03 18:04:45,0.00796
2024-03-03 18:05:00,0.00815
2024-03-03 18:05:15,0.0174
2024-03-03 18:05:30,0.0200
2024-03-03 18:05:45,0.0279
2024-03-03 18:06:00,0.0353
2024-03-03 18:06:15,0.0304
2024-03-03 18:06:30,0.0312
2024-03-03 18:06:45,0.0314
2024-03-03 18:07:00,0.0491
2024-03-03 18:07:15,0.0403
2024-03-03 18:07:30,0.0322
2024-03-03 18:07:45,0.00235
2024-03-03 18:08:00,0.00234
2024-03-03 18:08:15,0.00232
2024-03-03 18:08:30,0.00232
2024-03-03 18:08:45,0.00243
2024-03-03 18:09:00,0.0287
2024-03-03 18:09:15,0.0292
2024-03-03 18:09:30,0.0292
2024-03-03 18:09:45,0.0159
2024-03-03 18:10:00,0.00324
2024-03-03 18:10:15,0.00322
2024-03-03 18:10:30,0.00317
2024-03-03 18:10:45,0.00300
2024-03-03 18:11:00,0.00297
2024-03-03 18:11:15,0.00620
2024-03-03 18:11:30,0.0191
2024-03-03 18:11:45,0.0193
2024-03-03 18:12:00,0.0161
2024-03-03 18:12:15,0.0161
2024-03-03 18:12:30,0.00277
2024-03-03 18:12:45,0.00276
2024-03-03 18:13:00,0.00283
2024-03-03 18:13:15,0.00287
2024-03-03 18:13:30,0.0203
2024-03-03 18:13:45,0.0211
2024-03-03 18:14:00,0.0209
2024-03-03 18:14:15,0.0208
2024-03-03 18:14:30,0.00301
2024-03-03 18:14:45,0.00295
2024-03-03 18:15:00,0.00288
2024-03-03 18:15:15,0.0246
2024-03-03 18:15:30,0.0241
2024-03-03 18:15:45,0.0244
2024-03-03 18:16:00,0.0223
2024-03-03 18:16:15,0.00282
2024-03-03 18:16:30,0.00289
2024-03-03 18:16:45,0.00304
2024-03-03 18:17:00,0.00306
2024-03-03 18:17:15,0.00309
2024-03-03 18:17:30,0.00288
2024-03-03 18:17:45,0.00283
2024-03-03 18:18:00,0.00280
2024-03-03 18:18:15,0.00283
2024-03-03 18:18:30,0.00284
2024-03-03 18:18:45,0.00288
2024-03-03 18:19:00,0.00289
2024-03-03 18:19:15,0.00293
2024-03-03 18:19:30,0.00641
2024-03-03 18:19:45,0.00655
2024-03-03 18:20:00,0.0192
2024-03-03 18:20:15,0.0267
2024-03-03 18:20:30,0.0302
2024-03-03 18:20:45,0.0315
2024-03-03 18:21:00,0.0314
2024-03-03 18:21:15,0.0315
2024-03-03 18:21:30,0.0555
2024-03-03 18:21:45,0.0480
2024-03-03 18:22:00,0.0404
2024-03-03 18:22:15,0.0323
2024-03-03 18:22:30,0.00293
2024-03-03 18:22:45,0.00287
2024-03-03 18:23:00,0.00285
2024-03-03 18:23:15,0.00296
2024-03-03 18:23:30,0.00624
2024-03-03 18:23:45,0.0220
2024-03-03 18:24:00,0.0221
2024-03-03 18:24:15,0.0222
2024-03-03 18:24:30,0.0125
2024-03-03 18:24:45,0.00278
2024-03-03 18:25:00,0.00277
2024-03-03 18:25:15,0.00279
2024-03-03 18:25:30,0.00285
2024-03-03 18:25:45,0.00515
2024-03-03 18:26:00,0.00518
2024-03-03 18:26:15,0.0175
2024-03-03 18:26:30,0.0174
2024-03-03 18:26:45,0.0152
2024-03-03 18:27:00,0.0142
2024-03-03 18:27:15,0.00272
2024-03-03 18:27:30,0.00262
2024-03-03 18:27:45,0.00268
2024-03-03 18:28:00,0.00271
2024-03-03 18:28:15,0.0300
2024-03-03 18:28:30,0.0305
2024-03-03 18:28:45,0.0297
2024-03-03 18:29:00,0.0302
2024-03-03 18:29:15,0.00267
2024-03-03 18:29:30,0.00264
2024-03-03 18:29:45,0.00555
2024-03-03 18:30:00,0.0260
2024-03-03 18:30:15,0.0264
2024-03-03 18:30:30,0.0266
2024-03-03 18:30:45,0.0121
2024-03-03 18:31:00,0.00262
2024-03-03 18:31:15,0.00255
2024-03-03 18:31:30,0.00255
2024-03-03 18:31:45,0.00253
2024-03-03 18:32:00,0.00254
2024-03-03 18:32:15,0.00254
2024-03-03 18:32:30,0.00249
2024-03-03 18:32:45,0.00251
2024-03-03 18:33:00,0.00252
